Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2023,March,1 North West Metro,Melbourne,"25,019","14,103.5"
2023,March,1 North West Metro,Melton,"8,663","4,203.9"
2023,March,1 North West Metro,Merri-bek,"9,423","5,199.7"
2023,March,1 North West Metro,Moonee Valley,"5,825","4,605.3"
2023,March,1 North West Metro,Nillumbik,"1,165","1,841.5"
2023,March,1 North West Metro,Whittlesea,"9,164","3,740.0"
2023,March,1 North West Metro,Wyndham,"13,792","4,255.6"
2023,March,1 North West Metro,Yarra,"9,533","9,782.7"
2023,March,1 North West Metro,Total,"134,605","5,726.4"
2023,March,2 Eastern,Alpine,346,"2,624.8"
2023,March,2 Eastern,Bass Coast,"2,136","4,998.9"
2023,March,2 Eastern,Baw Baw,"2,879","4,747.4"
2023,March,2 Eastern,Benalla,"1,002","6,896.6"
2023,March,2 Eastern,Boroondara,"5,738","3,287.6"
2023,March,2 Eastern,East Gippsland,"3,311","6,732.5"
2023,March,2 Eastern,Greater Shepparton,"5,623","8,133.4"
2023,March,2 Eastern,Indigo,545,"3,085.7"
2023,March,2 Eastern,Knox,"6,787","4,195.6"
2023,March,2 Eastern,Latrobe,"8,041","10,288.7"
2023,March,2 Eastern,Manningham,"3,043","2,349.6"
2023,March,2 Eastern,Mansfield,280,"2,655.0"
2023,March,2 Eastern,Maroondah,"5,315","4,525.9"
2023,March,2 Eastern,Mitchell,"2,556","4,757.7"
2023,March,2 Eastern,Moira,"1,580","5,134.0"
2023,March,2 Eastern,Monash,"9,223","4,530.9"
2023,March,2 Eastern,Murrindindi,548,"3,539.6"
2023,March,2 Eastern,South Gippsland,"1,456","4,723.7"
2023,March,2 Eastern,Strathbogie,381,"3,290.7"
2023,March,2 Eastern,Towong,145,"2,322.6"
2023,March,2 Eastern,Wangaratta,"1,793","5,976.3"
2023,March,2 Eastern,Wellington,"3,052","6,616.9"
2023,March,2 Eastern,Whitehorse,"6,189","3,464.5"
2023,March,2 Eastern,Wodonga,"2,698","6,093.6"
2023,March,2 Eastern,Yarra Ranges,"4,774","3,008.3"
2023,March,2 Eastern,Total,"79,441","4,542.3"
2023,March,3 Southern Metro,Bayside,"3,914","3,753.6"
2023,March,3 Southern Metro,Cardinia,"4,670","3,678.3"
2023,March,3 Southern Metro,Casey,"15,523","3,958.8"
2023,March,3 Southern Metro,Frankston,"9,465","6,626.9"
2023,March,3 Southern Metro,Glen Eira,"5,583","3,559.7"
2023,March,3 Southern Metro,Greater Dandenong,"13,416","8,190.9"
2023,March,3 Southern Metro,Kingston,"7,982","4,875.3"
2023,March,3 Southern Metro,Mornington Peninsula,"6,974","4,096.5"
2023,March,3 Southern Metro,Port Phillip,"9,809","8,956.8"
2023,March,3 Southern Metro,Stonnington,"8,499","7,633.7"
2023,March,3 Southern Metro,Total,"85,835","5,228.7"
2023,March,4 Western,Ararat,875,"7,489.5"
2023,March,4 Western,Ballarat,"8,225","6,962.3"
2023,March,4 Western,Buloke,262,"4,337.7"
2023,March,4 Western,Campaspe,"2,792","7,290.0"
2023,March,4 Western,Central Goldfields,774,"5,702.1"
2023,March,4 Western,Colac-Otway,"1,100","4,938.7"
2023,March,4 Western,Corangamite,481,"3,016.1"
2023,March,4 Western,Gannawarra,524,"5,028.8"
2023,March,4 Western,Glenelg,"1,064","5,314.2"
2023,March,4 Western,Golden Plains,506,"1,959.9"
2023,March,4 Western,Greater Bendigo,"7,857","6,327.4"
2023,March,4 Western,Greater Geelong,"15,180","5,367.6"
2023,March,4 Western,Hepburn,510,"3,059.4"
2023,March,4 Western,Hindmarsh,199,"3,579.8"
2023,March,4 Western,Horsham,"1,623","7,989.2"
2023,March,4 Western,Loddon,341,"4,401.7"
2023,March,4 Western,Macedon Ranges,"1,522","2,876.0"
2023,March,4 Western,Mildura,"5,518","9,587.5"
2023,March,4 Western,Moorabool,"1,561","3,993.1"
2023,March,4 Western,Mount Alexander,724,"3,518.7"
